split,tokens,content,words,audio_valid,vision_valid,audio_zero_eq_content,repeated_audio,expected_repeat,audio_vision_missing_same,truncated,word_loss
train,13,11,5,11,11,1,6,6,1,0,0.0
train,13,11,6,11,11,1,5,5,1,0,0.0
train,11,9,6,9,9,1,3,3,1,0,0.0
train,14,12,11,12,12,1,1,1,1,0,0.0
train,29,27,24,27,27,1,3,3,1,0,0.0
train,14,12,9,12,12,1,3,3,1,0,0.0
train,50,48,54,48,48,1,6,0,1,1,0.11111111111111116
train,11,9,7,9,9,1,2,2,1,0,0.0
train,30,28,17,28,28,1,11,11,1,0,0.0
train,23,21,15,21,10,1,6,6,0,0,0.0
train,17,15,11,15,15,1,4,4,1,0,0.0
train,5,3,3,3,3,1,0,0,1,0,0.0
train,14,12,10,12,12,1,2,2,1,0,0.0
train,50,48,47,48,17,1,2,1,0,0,0.0
train,15,13,11,13,3,1,2,2,0,0,0.0
train,25,23,20,23,20,1,3,3,0,0,0.0
train,25,23,19,23,14,1,4,4,0,0,0.0
train,9,7,5,7,7,1,2,2,1,0,0.0
train,15,13,13,13,13,1,0,0,1,0,0.0
train,17,15,9,15,15,1,6,6,1,0,0.0
train,18,16,13,16,16,1,3,3,1,0,0.0
train,13,11,7,11,11,1,4,4,1,0,0.0
train,13,11,5,11,11,1,6,6,1,0,0.0
train,21,19,12,19,19,1,7,7,1,0,0.0
train,10,8,6,8,8,1,2,2,1,0,0.0
train,50,48,75,48,48,1,15,0,1,1,0.36
train,50,48,47,48,48,1,10,1,1,0,0.0
train,22,20,18,20,20,1,2,2,1,0,0.0
train,32,30,23,30,30,1,7,7,1,0,0.0
train,29,27,22,27,27,1,5,5,1,0,0.0
train,50,48,41,48,48,1,10,7,1,0,0.0
train,20,18,14,18,18,1,4,4,1,0,0.0
train,35,33,29,33,33,1,4,4,1,0,0.0
train,7,5,3,5,5,1,2,2,1,0,0.0
train,20,18,12,18,18,1,6,6,1,0,0.0
train,11,9,6,9,9,1,3,3,1,0,0.0
train,6,4,3,4,4,1,1,1,1,0,0.0
train,27,25,20,25,25,1,5,5,1,0,0.0
train,35,33,26,33,33,1,7,7,1,0,0.0
train,12,10,8,10,10,1,2,2,1,0,0.0
train,24,22,18,22,22,1,4,4,1,0,0.0
train,22,20,17,20,20,1,3,3,1,0,0.0
train,26,24,20,24,24,1,4,4,1,0,0.0
train,22,20,13,20,8,1,7,7,0,0,0.0
train,31,29,24,29,29,1,5,5,1,0,0.0
train,10,8,6,8,8,1,2,2,1,0,0.0
train,7,5,5,5,5,1,0,0,1,0,0.0
train,16,14,13,14,14,1,1,1,1,0,0.0
train,9,7,5,7,7,1,2,2,1,0,0.0
train,20,18,10,18,18,1,8,8,1,0,0.0
train,20,18,14,18,18,1,4,4,1,0,0.0
train,29,27,22,27,27,1,5,5,1,0,0.0
train,35,33,27,33,33,1,6,6,1,0,0.0
train,14,12,12,12,12,1,0,0,1,0,0.0
train,16,14,12,14,14,1,2,2,1,0,0.0
train,11,9,7,9,9,1,2,2,1,0,0.0
train,12,10,10,10,0,1,0,0,0,0,0.0
train,30,28,21,28,28,1,7,7,1,0,0.0
train,24,22,20,22,22,1,2,2,1,0,0.0
train,26,24,21,24,24,1,3,3,1,0,0.0
train,30,28,19,28,28,1,9,9,1,0,0.0
train,9,7,7,7,7,1,0,0,1,0,0.0
train,20,18,17,18,18,1,1,1,1,0,0.0
train,45,43,31,43,43,1,12,12,1,0,0.0
train,43,41,30,41,41,1,11,11,1,0,0.0
train,40,38,31,38,38,1,7,7,1,0,0.0
train,33,31,23,31,31,1,8,8,1,0,0.0
train,6,4,4,4,4,1,0,0,1,0,0.0
train,15,13,8,13,13,1,5,5,1,0,0.0
train,21,19,10,19,19,1,9,9,1,0,0.0
train,12,10,6,10,10,1,4,4,1,0,0.0
train,28,26,20,26,26,1,6,6,1,0,0.0
train,27,25,19,25,25,1,6,6,1,0,0.0
train,12,10,8,10,10,1,2,2,1,0,0.0
train,18,16,10,16,16,1,6,6,1,0,0.0
train,15,13,8,13,13,1,5,5,1,0,0.0
train,37,35,19,35,35,1,16,16,1,0,0.0
train,33,31,20,31,31,1,11,11,1,0,0.0
train,19,17,10,17,17,1,7,7,1,0,0.0
train,45,43,34,43,43,1,9,9,1,0,0.0
train,50,48,40,48,48,1,13,8,1,0,0.0
train,47,45,32,45,45,1,13,13,1,0,0.0
train,38,36,32,36,36,1,4,4,1,0,0.0
train,29,27,25,27,27,1,2,2,1,0,0.0
train,24,22,14,22,22,1,8,8,1,0,0.0
train,10,8,6,8,8,1,2,2,1,0,0.0
train,29,27,14,27,27,1,13,13,1,0,0.0
train,24,22,15,22,22,1,7,7,1,0,0.0
train,25,23,17,23,23,1,6,6,1,0,0.0
train,34,32,27,32,32,1,5,5,1,0,0.0
train,38,36,28,36,36,1,8,8,1,0,0.0
train,15,13,9,13,13,1,4,4,1,0,0.0
train,25,23,14,23,23,1,9,9,1,0,0.0
train,30,28,20,28,28,1,8,8,1,0,0.0
train,33,31,22,31,31,1,9,9,1,0,0.0
train,50,48,43,48,48,1,5,5,1,0,0.0
train,18,16,13,16,16,1,3,3,1,0,0.0
train,40,38,32,38,38,1,6,6,1,0,0.0
train,21,19,16,19,19,1,3,3,1,0,0.0
train,16,14,14,14,14,1,0,0,1,0,0.0
train,5,3,3,3,3,1,0,0,1,0,0.0
train,33,31,24,31,31,1,7,7,1,0,0.0
train,11,9,7,9,9,1,2,2,1,0,0.0
train,32,30,28,30,30,1,2,2,1,0,0.0
train,21,19,13,19,17,1,6,6,0,0,0.0
train,3,1,1,1,1,1,0,0,1,0,0.0
train,13,11,11,11,11,1,0,0,1,0,0.0
train,15,13,12,13,13,1,1,1,1,0,0.0
train,8,6,5,6,6,1,1,1,1,0,0.0
train,16,14,10,14,14,1,4,4,1,0,0.0
train,47,45,35,45,45,1,10,10,1,0,0.0
train,14,12,10,12,12,1,2,2,1,0,0.0
train,33,31,26,31,31,1,5,5,1,0,0.0
train,26,24,18,24,24,1,6,6,1,0,0.0
train,50,48,87,48,48,1,15,0,1,1,0.4482758620689655
train,18,16,12,16,16,1,4,4,1,0,0.0
train,9,7,5,7,7,1,2,2,1,0,0.0
train,30,28,20,28,28,1,8,8,1,0,0.0
train,18,16,14,16,16,1,2,2,1,0,0.0
train,32,30,25,30,30,1,5,5,1,0,0.0
train,20,18,13,18,17,1,5,5,0,0,0.0
train,12,10,7,10,0,1,3,3,0,0,0.0
train,50,48,34,48,48,1,18,14,1,0,0.0
train,21,19,14,19,19,1,5,5,1,0,0.0
train,5,3,3,3,3,1,0,0,1,0,0.0
train,22,20,13,20,20,1,7,7,1,0,0.0
train,22,20,15,20,20,1,5,5,1,0,0.0
train,17,15,8,15,15,1,7,7,1,0,0.0
train,40,38,31,38,11,1,7,7,0,0,0.0
train,17,15,15,15,15,1,0,0,1,0,0.0
train,29,27,23,27,25,1,4,4,0,0,0.0
train,17,15,15,15,0,1,0,0,0,0,0.0
train,19,17,15,17,3,1,2,2,0,0,0.0
train,15,13,13,13,13,1,0,0,1,0,0.0
train,6,4,4,4,4,1,0,0,1,0,0.0
train,19,17,16,17,17,1,1,1,1,0,0.0
train,50,48,47,48,48,1,3,1,1,0,0.0
train,44,42,32,42,38,1,10,10,0,0,0.0
train,38,36,28,36,36,1,8,8,1,0,0.0
train,50,48,38,48,48,1,11,10,1,0,0.0
train,25,23,17,23,23,1,6,6,1,0,0.0
train,40,38,31,38,18,1,7,7,0,0,0.0
train,31,29,17,29,29,1,12,12,1,0,0.0
train,8,6,6,6,6,1,0,0,1,0,0.0
train,9,7,7,7,7,1,0,0,1,0,0.0
train,14,12,11,12,12,1,1,1,1,0,0.0
train,12,10,7,10,10,1,3,3,1,0,0.0
train,14,12,11,12,12,1,1,1,1,0,0.0
train,11,9,7,9,9,1,2,2,1,0,0.0
train,31,29,25,29,29,1,4,4,1,0,0.0
train,42,40,29,40,40,1,11,11,1,0,0.0
train,7,5,3,5,5,1,2,2,1,0,0.0
train,28,26,23,26,26,1,3,3,1,0,0.0
train,35,33,29,33,33,1,4,4,1,0,0.0
train,14,12,10,12,12,1,2,2,1,0,0.0
train,16,14,12,14,12,1,2,2,0,0,0.0
train,34,32,29,32,32,1,3,3,1,0,0.0
train,39,37,29,37,37,1,8,8,1,0,0.0
train,24,22,22,22,22,1,0,0,1,0,0.0
train,32,30,27,30,30,1,3,3,1,0,0.0
train,16,14,14,14,14,1,0,0,1,0,0.0
train,33,31,21,31,31,1,10,10,1,0,0.0
train,30,28,23,28,28,1,5,5,1,0,0.0
train,16,14,8,14,14,1,6,6,1,0,0.0
train,31,29,26,29,29,1,3,3,1,0,0.0
train,11,9,7,9,9,1,2,2,1,0,0.0
train,50,48,39,48,45,1,9,9,0,0,0.0
train,13,11,9,11,11,1,2,2,1,0,0.0
train,41,39,32,39,37,1,7,7,0,0,0.0
train,30,28,18,28,28,1,10,10,1,0,0.0
train,17,15,13,15,15,1,2,2,1,0,0.0
train,23,21,15,21,21,1,6,6,1,0,0.0
train,17,15,12,15,15,1,3,3,1,0,0.0
train,17,15,13,15,15,1,2,2,1,0,0.0
train,20,18,15,18,18,1,3,3,1,0,0.0
train,45,43,34,43,43,1,9,9,1,0,0.0
train,25,23,16,23,23,1,7,7,1,0,0.0
train,24,22,20,22,22,1,2,2,1,0,0.0
train,9,7,6,7,7,1,1,1,1,0,0.0
train,11,9,9,9,9,1,0,0,1,0,0.0
train,29,27,23,27,25,1,4,4,0,0,0.0
train,20,18,16,18,15,1,2,2,0,0,0.0
train,18,16,13,16,0,1,3,3,0,0,0.0
train,38,36,28,36,0,1,8,8,0,0,0.0
train,44,42,33,42,42,1,9,9,1,0,0.0
train,13,11,10,11,11,1,1,1,1,0,0.0
train,27,25,18,25,25,1,7,7,1,0,0.0
train,14,12,12,12,12,1,0,0,1,0,0.0
train,33,31,21,31,31,1,10,10,1,0,0.0
train,18,16,16,16,16,1,0,0,1,0,0.0
train,12,10,8,10,8,1,2,2,0,0,0.0
train,14,12,12,12,3,1,0,0,0,0,0.0
train,8,6,6,6,0,1,0,0,0,0,0.0
train,23,21,20,21,14,1,1,1,0,0,0.0
train,29,27,24,27,6,1,3,3,0,0,0.0
train,27,25,22,25,25,1,3,3,1,0,0.0
train,7,5,5,5,5,1,0,0,1,0,0.0
train,20,18,15,18,18,1,3,3,1,0,0.0
train,33,31,22,31,31,1,9,9,1,0,0.0
train,50,48,42,48,48,1,9,6,1,0,0.0
train,47,45,39,45,45,1,6,6,1,0,0.0
train,50,48,67,48,48,1,4,0,1,1,0.28358208955223885
train,29,27,22,27,27,1,5,5,1,0,0.0
train,19,17,15,17,17,1,2,2,1,0,0.0
train,33,31,28,31,31,1,3,3,1,0,0.0
train,37,35,28,35,35,1,7,7,1,0,0.0
train,30,28,28,28,28,1,0,0,1,0,0.0
train,34,32,22,32,32,1,10,10,1,0,0.0
train,16,14,11,14,14,1,3,3,1,0,0.0
train,50,48,42,48,48,1,6,6,1,0,0.0
train,22,20,17,20,20,1,3,3,1,0,0.0
train,15,13,11,13,13,1,2,2,1,0,0.0
train,12,10,9,10,10,1,1,1,1,0,0.0
train,17,15,12,15,15,1,3,3,1,0,0.0
train,50,48,45,48,48,1,7,3,1,0,0.0
train,50,48,40,48,48,1,14,8,1,0,0.0
train,23,21,16,21,21,1,5,5,1,0,0.0
train,50,48,42,48,42,1,8,6,0,0,0.0
train,13,11,10,11,11,1,1,1,1,0,0.0
train,29,27,22,27,27,1,5,5,1,0,0.0
train,32,30,25,30,30,1,5,5,1,0,0.0
train,40,38,33,38,38,1,5,5,1,0,0.0
train,19,17,15,17,17,1,2,2,1,0,0.0
train,37,35,32,35,35,1,3,3,1,0,0.0
train,11,9,3,9,9,1,6,6,1,0,0.0
train,13,11,9,11,11,1,2,2,1,0,0.0
train,13,11,7,11,11,1,4,4,1,0,0.0
train,37,35,26,35,35,1,9,9,1,0,0.0
train,25,23,15,23,23,1,8,8,1,0,0.0
train,39,37,32,37,37,1,5,5,1,0,0.0
train,26,24,18,24,24,1,6,6,1,0,0.0
train,13,11,7,11,11,1,4,4,1,0,0.0
train,24,22,13,22,22,1,9,9,1,0,0.0
train,21,19,17,19,19,1,2,2,1,0,0.0
train,36,34,26,34,34,1,8,8,1,0,0.0
train,50,48,36,48,48,1,12,12,1,0,0.0
train,45,43,33,43,42,1,10,10,0,0,0.0
train,41,39,28,39,39,1,11,11,1,0,0.0
train,15,13,8,13,13,1,5,5,1,0,0.0
train,31,29,25,29,29,1,4,4,1,0,0.0
train,11,9,7,9,9,1,2,2,1,0,0.0
train,8,6,6,6,6,1,0,0,1,0,0.0
train,4,2,2,2,0,1,0,0,0,0,0.0
train,17,15,15,15,15,1,0,0,1,0,0.0
train,40,38,34,38,38,1,4,4,1,0,0.0
train,19,17,13,17,17,1,4,4,1,0,0.0
train,33,31,30,31,31,1,1,1,1,0,0.0
train,28,26,22,26,0,1,4,4,0,0,0.0
train,40,38,32,38,38,1,6,6,1,0,0.0
train,28,26,25,26,17,1,1,1,0,0,0.0
train,21,19,17,19,19,1,2,2,1,0,0.0
train,11,9,7,9,0,1,2,2,0,0,0.0
train,35,33,28,33,33,1,5,5,1,0,0.0
train,13,11,5,11,11,1,6,6,1,0,0.0
train,50,48,54,48,48,1,15,0,1,1,0.11111111111111116
train,43,41,33,41,41,1,8,8,1,0,0.0
train,10,8,7,8,8,1,1,1,1,0,0.0
train,4,2,2,2,2,1,0,0,1,0,0.0
train,15,13,10,13,13,1,3,3,1,0,0.0
train,13,11,8,11,11,1,3,3,1,0,0.0
train,15,13,8,13,13,1,5,5,1,0,0.0
train,17,15,9,15,15,1,6,6,1,0,0.0
train,19,17,14,17,17,1,3,3,1,0,0.0
train,20,18,15,18,17,1,3,3,0,0,0.0
train,8,6,3,6,0,1,3,3,0,0,0.0
train,15,13,10,13,5,1,3,3,0,0,0.0
train,7,5,5,5,5,1,0,0,1,0,0.0
train,20,18,14,18,18,1,4,4,1,0,0.0
train,15,13,11,13,13,1,2,2,1,0,0.0
train,25,23,16,23,23,1,7,7,1,0,0.0
train,23,21,13,21,18,1,8,8,0,0,0.0
train,8,6,4,6,0,1,2,2,0,0,0.0
train,7,5,2,5,0,1,3,3,0,0,0.0
train,11,9,5,9,9,1,4,4,1,0,0.0
train,21,19,15,19,19,1,4,4,1,0,0.0
train,10,8,4,8,8,1,4,4,1,0,0.0
train,37,35,30,35,35,1,5,5,1,0,0.0
train,6,4,4,4,4,1,0,0,1,0,0.0
train,18,16,12,16,16,1,4,4,1,0,0.0
train,5,3,3,3,3,1,0,0,1,0,0.0
train,11,9,6,9,9,1,3,3,1,0,0.0
train,43,41,31,41,41,1,10,10,1,0,0.0
train,23,21,17,21,21,1,4,4,1,0,0.0
train,16,14,9,14,14,1,5,5,1,0,0.0
train,25,23,15,23,23,1,8,8,1,0,0.0
train,50,48,50,48,48,1,7,0,1,0,0.0
train,19,17,14,17,17,1,3,3,1,0,0.0
train,19,17,14,17,17,1,3,3,1,0,0.0
train,26,24,17,24,24,1,7,7,1,0,0.0
train,11,9,9,9,1,1,0,0,0,0,0.0
train,14,12,8,12,12,1,4,4,1,0,0.0
train,8,6,5,6,6,1,1,1,1,0,0.0
train,28,26,16,26,26,1,10,10,1,0,0.0
train,50,48,39,48,47,1,13,9,0,0,0.0
train,35,33,24,33,33,1,9,9,1,0,0.0
train,21,19,14,19,19,1,5,5,1,0,0.0
train,10,8,6,8,8,1,2,2,1,0,0.0
train,16,14,11,14,0,1,3,3,0,0,0.0
train,3,1,1,1,1,1,0,0,1,0,0.0
train,14,12,8,12,12,1,4,4,1,0,0.0
train,13,11,8,11,10,1,3,3,0,0,0.0
train,25,23,15,23,23,1,8,8,1,0,0.0
train,17,15,13,15,5,1,2,2,0,0,0.0
train,16,14,14,14,1,1,0,0,0,0,0.0
train,50,48,48,48,48,1,18,0,1,0,0.0
train,34,32,28,32,32,1,4,4,1,0,0.0
train,43,41,29,41,41,1,12,12,1,0,0.0
train,40,38,17,38,38,1,21,21,1,0,0.0
train,22,20,17,20,20,1,3,3,1,0,0.0
train,50,48,48,48,48,1,8,0,1,0,0.0
train,16,14,11,14,14,1,3,3,1,0,0.0
train,5,3,2,3,3,1,1,1,1,0,0.0
train,38,36,21,36,36,1,15,15,1,0,0.0
train,29,27,24,27,27,1,3,3,1,0,0.0
train,38,36,31,36,36,1,5,5,1,0,0.0
train,47,45,30,45,45,1,15,15,1,0,0.0
train,31,29,23,29,29,1,6,6,1,0,0.0
train,16,14,12,14,14,1,2,2,1,0,0.0
train,21,19,14,19,19,1,5,5,1,0,0.0
train,40,38,24,38,38,1,14,14,1,0,0.0
train,12,10,8,10,10,1,2,2,1,0,0.0
train,8,6,3,6,6,1,3,3,1,0,0.0
train,13,11,11,11,11,1,0,0,1,0,0.0
train,11,9,9,9,9,1,0,0,1,0,0.0
train,50,48,58,48,48,1,14,0,1,1,0.1724137931034483
train,29,27,17,27,27,1,10,10,1,0,0.0
train,3,1,1,1,1,1,0,0,1,0,0.0
train,50,48,42,48,48,1,14,6,1,0,0.0
train,13,11,11,11,11,1,0,0,1,0,0.0
train,15,13,11,13,13,1,2,2,1,0,0.0
train,26,24,20,24,24,1,4,4,1,0,0.0
train,50,48,43,48,48,1,11,5,1,0,0.0
train,11,9,7,9,9,1,2,2,1,0,0.0
train,33,31,21,31,31,1,10,10,1,0,0.0
train,23,21,15,21,21,1,6,6,1,0,0.0
train,12,10,7,10,10,1,3,3,1,0,0.0
train,22,20,10,20,20,1,10,10,1,0,0.0
train,33,31,24,31,31,1,7,7,1,0,0.0
train,19,17,13,17,3,1,4,4,0,0,0.0
train,24,22,16,22,18,1,6,6,0,0,0.0
train,22,20,13,20,20,1,7,7,1,0,0.0
train,30,28,17,28,28,1,11,11,1,0,0.0
train,50,48,44,48,48,1,11,4,1,0,0.0
train,31,29,25,29,9,1,4,4,0,0,0.0
train,33,31,24,31,9,1,7,7,0,0,0.0
train,15,13,11,13,13,1,2,2,1,0,0.0
train,20,18,13,18,18,1,5,5,1,0,0.0
train,19,17,11,17,17,1,6,6,1,0,0.0
train,28,26,22,26,26,1,4,4,1,0,0.0
train,18,16,8,16,16,1,8,8,1,0,0.0
train,27,25,18,25,25,1,7,7,1,0,0.0
train,8,6,6,6,6,1,0,0,1,0,0.0
train,28,26,17,26,26,1,9,9,1,0,0.0
train,36,34,23,34,25,1,11,11,0,0,0.0
train,8,6,6,6,6,1,0,0,1,0,0.0
train,12,10,8,10,10,1,2,2,1,0,0.0
train,50,48,40,48,48,1,14,8,1,0,0.0
train,13,11,9,11,11,1,2,2,1,0,0.0
train,36,34,26,34,34,1,8,8,1,0,0.0
train,14,12,10,12,12,1,2,2,1,0,0.0
train,49,47,34,47,47,1,13,13,1,0,0.0
train,8,6,6,6,6,1,0,0,1,0,0.0
train,16,14,14,14,14,1,0,0,1,0,0.0
train,15,13,11,13,13,1,2,2,1,0,0.0
train,20,18,12,18,18,1,6,6,1,0,0.0
train,11,9,6,9,9,1,3,3,1,0,0.0
train,26,24,16,24,24,1,8,8,1,0,0.0
train,9,7,4,7,7,1,3,3,1,0,0.0
train,3,1,1,1,1,1,0,0,1,0,0.0
train,48,46,36,46,46,1,10,10,1,0,0.0
train,10,8,6,8,8,1,2,2,1,0,0.0
train,13,11,10,11,11,1,1,1,1,0,0.0
train,15,13,12,13,13,1,1,1,1,0,0.0
train,22,20,18,20,20,1,2,2,1,0,0.0
train,3,1,1,1,1,1,0,0,1,0,0.0
train,39,37,30,37,37,1,7,7,1,0,0.0
train,7,5,5,5,5,1,0,0,1,0,0.0
train,9,7,5,7,7,1,2,2,1,0,0.0
train,14,12,10,12,12,1,2,2,1,0,0.0
train,39,37,29,37,12,1,8,8,0,0,0.0
train,7,5,5,5,0,1,0,0,0,0,0.0
train,13,11,9,11,9,1,2,2,0,0,0.0
train,17,15,12,15,11,1,3,3,0,0,0.0
train,18,16,13,16,16,1,3,3,1,0,0.0
train,24,22,18,22,22,1,4,4,1,0,0.0
train,29,27,23,27,27,1,4,4,1,0,0.0
train,26,24,17,24,24,1,7,7,1,0,0.0
train,12,10,9,10,9,1,1,1,0,0,0.0
train,21,19,16,19,19,1,3,3,1,0,0.0
train,10,8,6,8,7,1,2,2,0,0,0.0
train,10,8,3,8,8,1,5,5,1,0,0.0
train,33,31,18,31,31,1,13,13,1,0,0.0
train,20,18,14,18,18,1,4,4,1,0,0.0
train,47,45,29,45,45,1,16,16,1,0,0.0
train,21,19,10,19,19,1,9,9,1,0,0.0
train,45,43,33,43,43,1,10,10,1,0,0.0
train,39,37,32,37,37,1,5,5,1,0,0.0
train,25,23,18,23,23,1,5,5,1,0,0.0
train,50,48,49,48,48,1,9,0,1,0,0.0
train,16,14,11,14,14,1,3,3,1,0,0.0
train,23,21,13,21,21,1,8,8,1,0,0.0
train,25,23,15,23,23,1,8,8,1,0,0.0
train,5,3,2,3,3,1,1,1,1,0,0.0
train,7,5,5,5,5,1,0,0,1,0,0.0
train,9,7,6,7,7,1,1,1,1,0,0.0
train,26,24,17,24,24,1,7,7,1,0,0.0
train,15,13,8,13,13,1,5,5,1,0,0.0
train,27,25,17,25,25,1,8,8,1,0,0.0
train,24,22,16,22,22,1,6,6,1,0,0.0
train,20,18,15,18,18,1,3,3,1,0,0.0
train,21,19,13,19,19,1,6,6,1,0,0.0
train,15,13,10,13,13,1,3,3,1,0,0.0
train,20,18,14,18,18,1,4,4,1,0,0.0
train,12,10,8,10,9,1,2,2,0,0,0.0
train,50,48,45,48,48,1,10,3,1,0,0.0
train,7,5,5,5,5,1,0,0,1,0,0.0
train,32,30,23,30,30,1,7,7,1,0,0.0
train,21,19,18,19,19,1,1,1,1,0,0.0
train,29,27,17,27,27,1,10,10,1,0,0.0
train,12,10,10,10,10,1,0,0,1,0,0.0
train,36,34,24,34,34,1,10,10,1,0,0.0
train,21,19,12,19,19,1,7,7,1,0,0.0
train,21,19,13,19,19,1,6,6,1,0,0.0
train,12,10,8,10,10,1,2,2,1,0,0.0
train,44,42,21,42,42,1,21,21,1,0,0.0
train,25,23,18,23,23,1,5,5,1,0,0.0
train,23,21,16,21,21,1,5,5,1,0,0.0
train,18,16,12,16,16,1,4,4,1,0,0.0
train,10,8,6,8,8,1,2,2,1,0,0.0
train,15,13,12,13,13,1,1,1,1,0,0.0
train,18,16,14,16,16,1,2,2,1,0,0.0
train,7,5,3,5,5,1,2,2,1,0,0.0
train,50,48,63,48,25,1,7,0,0,1,0.23809523809523814
train,34,32,24,32,25,1,8,8,0,0,0.0
train,14,12,10,12,12,1,2,2,1,0,0.0
train,14,12,10,12,12,1,2,2,1,0,0.0
train,15,13,8,13,13,1,5,5,1,0,0.0
train,11,9,6,9,9,1,3,3,1,0,0.0
train,25,23,21,23,9,1,2,2,0,0,0.0
train,32,30,24,30,30,1,6,6,1,0,0.0
train,13,11,9,11,11,1,2,2,1,0,0.0
train,16,14,14,14,14,1,0,0,1,0,0.0
train,7,5,5,5,5,1,0,0,1,0,0.0
